"","2012","2013","2014","2015","2016","2017","2018"
"Ethnicity","","","","","","",""
"All","7.31","7.37","7.44","7.48","7.49","7.53","7.54"
"Bangladeshi","7.30","7.56","7.57","7.44","7.57","7.50","7.64"
"Chinese","7.41","7.51","7.51","7.59","7.54","7.33","7.53"
"Indian","7.49","7.54","7.59","7.69","7.75","7.80","7.67"
"Pakistani","7.16","7.18","7.39","7.53","7.50","7.51","7.57"
"Asian other","7.37","7.43","7.50","7.53","7.61","7.73","7.77"
"Black","7.03","7.16","7.33","7.31","7.36","7.34","7.52"
"Mixed","7.03","7.24","6.99","7.21","7.37","7.21","7.32"
"White","7.32","7.38","7.45","7.48","7.49","7.53","7.54"
"White Gypsy / Traveller","?","?","?","?","?","?","?"
"Arab","6.88","6.94","7.15","7.18","7.41","7.13","7.18"
"Other","7.09","7.19","7.43","7.43","7.62","7.56","7.56"
