,All,Bangladeshi,Chinese,Indian,Pakistani,Asian.other,Black,Mixed,White,Arab,Other
All,100,-9.10351905367636,-12.8064796092826,48.9183687327401,58.3490374903518,10.9365458373971,17.1754643085285,-41.8783683582961,98.7006701524607,0.38558955176188,31.6507964376709
Bangladeshi,-9.10351905367636,100,43.5862238414763,-38.984934328795,-45.4899915946598,-10.3560596533535,65.1582127300521,36.743646457319,0.899722613098597,39.1398870645037,34.9204327963225
Chinese,-12.8064796092826,43.5862238414763,100,-52.6595373997705,24.2333930482779,-91.2228758917573,60.6216459960291,55.6656380861762,-15.9918919910505,44.5326065211997,3.65755682149578
Indian,48.9183687327401,-38.984934328795,-52.6595373997705,100,12.3946546382498,24.8673204945825,-60.9409540231641,-0.461772942893423,41.6121732412838,1.90977273557658,23.8765714594105
Pakistani,58.3490374903518,-45.4899915946598,24.2333930482779,12.3946546382498,100,-39.8741756666217,27.9960879330709,-41.3462254316143,51.7922284961773,28.6365143580683,28.8039866970948
Asian.other,10.9365458373971,-10.3560596533535,-91.2228758917573,24.8673204945825,-39.8741756666217,100,-31.4024395907882,-60.7180582677119,19.9651116285454,-45.0915430764952,-0.106186971821714
Black,17.1754643085285,65.1582127300521,60.6216459960291,-60.9409540231641,27.9960879330709,-31.4024395907882,100,-14.1754525948975,25.7796014407342,53.9044616458644,49.7103343545858
Mixed,-41.8783683582961,36.743646457319,55.6656380861762,-0.461772942893423,-41.3462254316143,-60.7180582677119,-14.1754525948975,100,-48.3711025261287,18.8677536831366,-19.8756457462112
White,98.7006701524607,0.899722613098597,-15.9918919910505,41.6121732412838,51.7922284961773,19.9651116285454,25.7796014407342,-48.3711025261287,100,1.31691478718382,36.5984223761541
Arab,0.38558955176188,39.1398870645037,44.5326065211997,1.90977273557658,28.6365143580683,-45.0915430764952,53.9044616458644,18.8677536831366,1.31691478718382,100,86.1695341138805
Other,31.6507964376709,34.9204327963225,3.65755682149578,23.8765714594105,28.8039866970948,-0.106186971821714,49.7103343545858,-19.8756457462112,36.5984223761541,86.1695341138805,100
